"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"AD20170166","Gestión de Procesos Empresariales ERP","Odoo","Beatriz Helena Diaz","Administración de Empresas","Pregrado","03/05/2017","Wednesday","09:00- 11:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170167","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría Pública","Pregrado","03/05/2017","Wednesday","07:00- 09:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170168","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","04/05/2017","Thursday","14:00- 16:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170169","Investigación de Mercados","NVIVO","Herbert Bermúdez","Administración de Empresas","Pregrado","04/05/2017","Thursday","11:00- 13:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170170","Economía Política II","Moodle","José Guillermo García","Economía","Pregrado","04/05/2017","Thursday","09:00- 11:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170171","Gestión de Procesos Empresariales ERP","Odoo","Beatriz Helena Diaz","Administración de Empresas","Pregrado","05/05/2017","Friday","09:00- 11:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170172","Gestión de las operaciones y la producción II","SAP","Monica Silvana Maria Varon Parra","Administración de Empresas","Pregrado","06/05/2017","Saturday","14:00- 16:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170173","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","08/05/2017","Monday","09:00- 11:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"AD20170174","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","08/05/2017","Monday","07:00- 09:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"AD20170175","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","08/05/2017","Monday","16:00- 18:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"AD20170176","Fundamentos de Finanzas","Excel","María del Pilar Corredor García","Administración de Empresas","Pregrado","08/05/2017","Monday","N/A","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"AD20170177","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","09/05/2017","Tuesday","14:00- 16:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"AD20170178","Gestión de Procesos Empresariales ERP","SAP","Beatriz Helena Diaz","Administración de Empresas","Pregrado","10/05/2017","Wednesday","09:00- 11:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
